UNH,UNH_1_day_ago,UNH_2_day_ago,UNH_3_day_ago,UNH_4_day_ago,UNH_5_day_ago,UNH_vol_1_day_ago,UNH_vol_2_day_ago,UNH_vol_3_day_ago,UNH_vol_4_day_ago,UNH_vol_5_day_ago,JNJ_1_day_ago,JNJ_2_day_ago,JNJ_3_day_ago,JNJ_4_day_ago,JNJ_5_day_ago,JNJ_vol_1_day_ago,JNJ_vol_2_day_ago,JNJ_vol_3_day_ago,JNJ_vol_4_day_ago,JNJ_vol_5_day_ago,V_1_day_ago,V_2_day_ago,V_3_day_ago,V_4_day_ago,V_5_day_ago,V_vol_1_day_ago,V_vol_2_day_ago,V_vol_3_day_ago,V_vol_4_day_ago,V_vol_5_day_ago,JPM_1_day_ago,JPM_2_day_ago,JPM_3_day_ago,JPM_4_day_ago,JPM_5_day_ago,JPM_vol_1_day_ago,JPM_vol_2_day_ago,JPM_vol_3_day_ago,JPM_vol_4_day_ago,JPM_vol_5_day_ago,TSLA_1_day_ago,TSLA_2_day_ago,TSLA_3_day_ago,TSLA_4_day_ago,TSLA_5_day_ago,TSLA_vol_1_day_ago,TSLA_vol_2_day_ago,TSLA_vol_3_day_ago,TSLA_vol_4_day_ago,TSLA_vol_5_day_ago,META_1_day_ago,META_2_day_ago,META_3_day_ago,META_4_day_ago,META_5_day_ago,META_vol_1_day_ago,META_vol_2_day_ago,META_vol_3_day_ago,META_vol_4_day_ago,META_vol_5_day_ago,AMZN_1_day_ago,AMZN_2_day_ago,AMZN_3_day_ago,AMZN_4_day_ago,AMZN_5_day_ago,AMZN_vol_1_day_ago,AMZN_vol_2_day_ago,AMZN_vol_3_day_ago,AMZN_vol_4_day_ago,AMZN_vol_5_day_ago
45.026214599609375,46.01459503173828,46.665077209472656,46.63972473144531,47.86463928222656,48.422183990478516,8400700.0,6357300.0,7542900.0,14566200.0,5750400.0,56.819908142089844,56.82736587524414,56.664737701416016,56.89387512207031,56.30248260498047,8571500.0,9465700.0,7857500.0,9747400.0,10528400.0,36.887271881103516,36.42683410644531,35.95945739746094,36.466156005859375,36.55409240722656,11738000.0,14220800.0,15688800.0,13210000.0,17884400.0,36.01128005981445,35.52534484863281,35.79039764404297,36.408878326416016,35.989192962646484,23584100.0,24437700.0,24786700.0,20445900.0,20016200.0,2.4073328971862793,2.3440001010894775,2.569333076477051,2.618666887283325,2.4693329334259033,38209500.0,135567000.0,46830000.0,40521000.0,30264000.0,27.1299991607666,27.280000686645508,28.459999084472656,28.93000030517578,28.31999969482422,36350200.0,49642300.0,42098200.0,49396400.0,33109300.0,13.270999908447266,13.29699993133545,13.320500373840332,13.487500190734863,13.254500389099121,62496000.0,72748000.0,70578000.0,57084000.0,79598000.0
44.815025329589844,45.026214599609375,46.01459503173828,46.665077209472656,46.63972473144531,47.86463928222656,6807800.0,8400700.0,6357300.0,7542900.0,14566200.0,56.31319046020508,56.819908142089844,56.82736587524414,56.664737701416016,56.89387512207031,10603300.0,8571500.0,9465700.0,7857500.0,9747400.0,36.068206787109375,36.887271881103516,36.42683410644531,35.95945739746094,36.466156005859375,11183200.0,11738000.0,14220800.0,15688800.0,13210000.0,35.120391845703125,36.01128005981445,35.52534484863281,35.79039764404297,36.408878326416016,32775500.0,23584100.0,24437700.0,24786700.0,20445900.0,2.2920000553131104,2.4073328971862793,2.3440001010894775,2.569333076477051,2.618666887283325,43341000.0,38209500.0,135567000.0,46830000.0,40521000.0,27.270000457763672,27.1299991607666,27.280000686645508,28.459999084472656,28.93000030517578,34652000.0,36350200.0,49642300.0,42098200.0,49396400.0,12.993499755859375,13.270999908447266,13.29699993133545,13.320500373840332,13.487500190734863,60648000.0,62496000.0,72748000.0,70578000.0,57084000.0
45.50773239135742,44.815025329589844,45.026214599609375,46.01459503173828,46.665077209472656,46.63972473144531,6325100.0,6807800.0,8400700.0,6357300.0,7542900.0,56.44732666015625,56.31319046020508,56.819908142089844,56.82736587524414,56.664737701416016,10742100.0,10603300.0,8571500.0,9465700.0,7857500.0,36.51707077026367,36.068206787109375,36.887271881103516,36.42683410644531,35.95945739746094,11354000.0,11183200.0,11738000.0,14220800.0,15688800.0,35.046756744384766,35.120391845703125,36.01128005981445,35.52534484863281,35.79039764404297,39401400.0,32775500.0,23584100.0,24437700.0,24786700.0,2.295332908630371,2.2920000553131104,2.4073328971862793,2.3440001010894775,2.569333076477051,41443500.0,43341000.0,38209500.0,135567000.0,46830000.0,27.389999389648438,27.270000457763672,27.1299991607666,27.280000686645508,28.459999084472656,31611700.0,34652000.0,36350200.0,49642300.0,42098200.0,12.968000411987305,12.993499755859375,13.270999908447266,13.29699993133545,13.320500373840332,66972000.0,60648000.0,62496000.0,72748000.0,70578000.0
45.15294647216797,45.50773239135742,44.815025329589844,45.026214599609375,46.01459503173828,46.665077209472656,5133800.0,6325100.0,6807800.0,8400700.0,6357300.0,56.87207794189453,56.44732666015625,56.31319046020508,56.819908142089844,56.82736587524414,8180300.0,10742100.0,10603300.0,8571500.0,9465700.0,36.98905563354492,36.51707077026367,36.068206787109375,36.887271881103516,36.42683410644531,8318000.0,11354000.0,11183200.0,11738000.0,14220800.0,36.28370666503906,35.046756744384766,35.120391845703125,36.01128005981445,35.52534484863281,31921200.0,39401400.0,32775500.0,23584100.0,24437700.0,2.3399999141693115,2.295332908630371,2.2920000553131104,2.4073328971862793,2.3440001010894775,29388000.0,41443500.0,43341000.0,38209500.0,135567000.0,26.8700008392334,27.389999389648438,27.270000457763672,27.1299991607666,27.280000686645508,44319700.0,31611700.0,34652000.0,36350200.0,49642300.0,13.162500381469727,12.968000411987305,12.993499755859375,13.270999908447266,13.29699993133545,58162000.0,66972000.0,60648000.0,62496000.0,72748000.0
45.21205520629883,45.15294647216797,45.50773239135742,44.815025329589844,45.026214599609375,46.01459503173828,5879800.0,5133800.0,6325100.0,6807800.0,8400700.0,56.715614318847656,56.87207794189453,56.44732666015625,56.31319046020508,56.819908142089844,11806300.0,8180300.0,10742100.0,10603300.0,8571500.0,36.70447540283203,36.98905563354492,36.51707077026367,36.068206787109375,36.887271881103516,11228000.0,8318000.0,11354000.0,11183200.0,11738000.0,36.018646240234375,36.28370666503906,35.046756744384766,35.120391845703125,36.01128005981445,24711500.0,31921200.0,39401400.0,32775500.0,23584100.0,2.322000026702881,2.3399999141693115,2.295332908630371,2.2920000553131104,2.4073328971862793,29473500.0,29388000.0,41443500.0,43341000.0,38209500.0,27.25,26.8700008392334,27.389999389648438,27.270000457763672,27.1299991607666,83027800.0,44319700.0,31611700.0,34652000.0,36350200.0,13.213500022888184,13.162500381469727,12.968000411987305,12.993499755859375,13.270999908447266,53344000.0,58162000.0,66972000.0,60648000.0,62496000.0
45.04309844970703,45.21205520629883,45.15294647216797,45.50773239135742,44.815025329589844,45.026214599609375,6972100.0,5879800.0,5133800.0,6325100.0,6807800.0,57.155250549316406,56.715614318847656,56.87207794189453,56.44732666015625,56.31319046020508,9528300.0,11806300.0,8180300.0,10742100.0,10603300.0,36.57490921020508,36.70447540283203,36.98905563354492,36.51707077026367,36.068206787109375,13212000.0,11228000.0,8318000.0,11354000.0,11183200.0,36.01128005981445,36.018646240234375,36.28370666503906,35.046756744384766,35.120391845703125,25923400.0,24711500.0,31921200.0,39401400.0,32775500.0,2.309999942779541,2.322000026702881,2.3399999141693115,2.295332908630371,2.2920000553131104,23199000.0,29473500.0,29388000.0,41443500.0,43341000.0,27.780000686645508,27.25,26.8700008392334,27.389999389648438,27.270000457763672,54064800.0,83027800.0,44319700.0,31611700.0,34652000.0,13.286999702453613,13.213500022888184,13.162500381469727,12.968000411987305,12.993499755859375,59140000.0,53344000.0,58162000.0,66972000.0,60648000.0
45.19517135620117,45.04309844970703,45.21205520629883,45.15294647216797,45.50773239135742,44.815025329589844,4783000.0,6972100.0,5879800.0,5133800.0,6325100.0,57.52783203125,57.155250549316406,56.715614318847656,56.87207794189453,56.44732666015625,12628000.0,9528300.0,11806300.0,8180300.0,10742100.0,36.90346145629883,36.57490921020508,36.70447540283203,36.98905563354492,36.51707077026367,6570000.0,13212000.0,11228000.0,8318000.0,11354000.0,36.15117263793945,36.01128005981445,36.018646240234375,36.28370666503906,35.046756744384766,17695200.0,25923400.0,24711500.0,31921200.0,39401400.0,2.371999979019165,2.309999942779541,2.322000026702881,2.3399999141693115,2.295332908630371,26365500.0,23199000.0,29473500.0,29388000.0,41443500.0,27.719999313354492,27.780000686645508,27.25,26.8700008392334,27.389999389648438,32400700.0,54064800.0,83027800.0,44319700.0,31611700.0,13.655500411987305,13.286999702453613,13.213500022888184,13.162500381469727,12.968000411987305,69060000.0,59140000.0,53344000.0,58162000.0,66972000.0
45.288082122802734,45.19517135620117,45.04309844970703,45.21205520629883,45.15294647216797,45.50773239135742,4911700.0,4783000.0,6972100.0,5879800.0,5133800.0,57.870609283447266,57.52783203125,57.155250549316406,56.715614318847656,56.87207794189453,9399400.0,12628000.0,9528300.0,11806300.0,8180300.0,37.086246490478516,36.90346145629883,36.57490921020508,36.70447540283203,36.98905563354492,10267600.0,6570000.0,13212000.0,11228000.0,8318000.0,36.438331604003906,36.15117263793945,36.01128005981445,36.018646240234375,36.28370666503906,25561100.0,17695200.0,25923400.0,24711500.0,31921200.0,2.4433329105377197,2.371999979019165,2.309999942779541,2.322000026702881,2.3399999141693115,31305000.0,26365500.0,23199000.0,29473500.0,29388000.0,27.520000457763672,27.719999313354492,27.780000686645508,27.25,26.8700008392334,40622200.0,32400700.0,54064800.0,83027800.0,44319700.0,13.779500007629395,13.655500411987305,13.286999702453613,13.213500022888184,13.162500381469727,73724000.0,69060000.0,59140000.0,53344000.0,58162000.0
45.44860076904297,45.288082122802734,45.19517135620117,45.04309844970703,45.21205520629883,45.15294647216797,5562600.0,4911700.0,4783000.0,6972100.0,5879800.0,57.669410705566406,57.870609283447266,57.52783203125,57.155250549316406,56.715614318847656,8535200.0,9399400.0,12628000.0,9528300.0,11806300.0,37.2643928527832,37.086246490478516,36.90346145629883,36.57490921020508,36.70447540283203,7516000.0,10267600.0,6570000.0,13212000.0,11228000.0,36.83590316772461,36.438331604003906,36.15117263793945,36.01128005981445,36.018646240234375,19607900.0,25561100.0,17695200.0,25923400.0,24711500.0,2.512666940689087,2.4433329105377197,2.371999979019165,2.309999942779541,2.322000026702881,17250000.0,31305000.0,26365500.0,23199000.0,29473500.0,27.450000762939453,27.520000457763672,27.719999313354492,27.780000686645508,27.25,33532600.0,40622200.0,32400700.0,54064800.0,83027800.0,13.689499855041504,13.779500007629395,13.655500411987305,13.286999702453613,13.213500022888184,41014000.0,73724000.0,69060000.0,59140000.0,53344000.0
45.45705795288086,45.44860076904297,45.288082122802734,45.19517135620117,45.04309844970703,45.21205520629883,4455700.0,5562600.0,4911700.0,4783000.0,6972100.0,57.93769073486328,57.669410705566406,57.870609283447266,57.52783203125,57.155250549316406,7996500.0,8535200.0,9399400.0,12628000.0,9528300.0,37.13713836669922,37.2643928527832,37.086246490478516,36.90346145629883,36.57490921020508,8687200.0,7516000.0,10267600.0,6570000.0,13212000.0,37.27767562866211,36.83590316772461,36.438331604003906,36.15117263793945,36.01128005981445,24245400.0,19607900.0,25561100.0,17695200.0,25923400.0,2.5486669540405273,2.512666940689087,2.4433329105377197,2.371999979019165,2.309999942779541,17374500.0,17250000.0,31305000.0,26365500.0,23199000.0,28.579999923706055,27.450000762939453,27.520000457763672,27.719999313354492,27.780000686645508,74540200.0,33532600.0,40622200.0,32400700.0,54064800.0,13.694000244140625,13.689499855041504,13.779500007629395,13.655500411987305,13.286999702453613,38780000.0,41014000.0,73724000.0,69060000.0,59140000.0
