TSLA,TSLA_1_day_ago,TSLA_2_day_ago,TSLA_3_day_ago,TSLA_4_day_ago,TSLA_5_day_ago,TSLA_vol_1_day_ago,TSLA_vol_2_day_ago,TSLA_vol_3_day_ago,TSLA_vol_4_day_ago,TSLA_vol_5_day_ago,NVDA_1_day_ago,NVDA_2_day_ago,NVDA_3_day_ago,NVDA_4_day_ago,NVDA_5_day_ago,NVDA_vol_1_day_ago,NVDA_vol_2_day_ago,NVDA_vol_3_day_ago,NVDA_vol_4_day_ago,NVDA_vol_5_day_ago,ADBE_1_day_ago,ADBE_2_day_ago,ADBE_3_day_ago,ADBE_4_day_ago,ADBE_5_day_ago,ADBE_vol_1_day_ago,ADBE_vol_2_day_ago,ADBE_vol_3_day_ago,ADBE_vol_4_day_ago,ADBE_vol_5_day_ago,AAPL_1_day_ago,AAPL_2_day_ago,AAPL_3_day_ago,AAPL_4_day_ago,AAPL_5_day_ago,AAPL_vol_1_day_ago,AAPL_vol_2_day_ago,AAPL_vol_3_day_ago,AAPL_vol_4_day_ago,AAPL_vol_5_day_ago,LLY_1_day_ago,LLY_2_day_ago,LLY_3_day_ago,LLY_4_day_ago,LLY_5_day_ago,LLY_vol_1_day_ago,LLY_vol_2_day_ago,LLY_vol_3_day_ago,LLY_vol_4_day_ago,LLY_vol_5_day_ago,PG_1_day_ago,PG_2_day_ago,PG_3_day_ago,PG_4_day_ago,PG_5_day_ago,PG_vol_1_day_ago,PG_vol_2_day_ago,PG_vol_3_day_ago,PG_vol_4_day_ago,PG_vol_5_day_ago,MRK_1_day_ago,MRK_2_day_ago,MRK_3_day_ago,MRK_4_day_ago,MRK_5_day_ago,MRK_vol_1_day_ago,MRK_vol_2_day_ago,MRK_vol_3_day_ago,MRK_vol_4_day_ago,MRK_vol_5_day_ago
2.2920000553131104,2.4073328971862793,2.3440001010894775,2.569333076477051,2.618666887283325,2.4693329334259033,38209500.0,135567000.0,46830000.0,40521000.0,30264000.0,2.889814615249634,2.8367276191711426,2.8575007915496826,2.8990468978881836,2.938286542892456,37014800.0,58040800.0,71301200.0,43355200.0,73386000.0,38.54999923706055,38.34000015258789,38.77000045776367,38.9900016784668,38.630001068115234,2835500.0,2872700.0,3129600.0,2056500.0,2367900.0,13.831742286682129,13.686006546020508,13.771611213684082,14.113405227661133,14.118621826171875,330654800.0,447182400.0,476302400.0,435783600.0,391745200.0,42.43282699584961,42.23735809326172,42.448463439941406,42.36245346069336,41.901145935058594,5519000.0,5512500.0,4446300.0,3981200.0,5482800.0,56.10228729248047,56.138729095458984,56.16787338256836,56.38645935058594,55.77437973022461,8433200.0,10305200.0,9275400.0,11783500.0,11165600.0,29.042699813842773,28.725021362304688,28.833171844482422,28.535778045654297,27.995080947875977,16132807.0,12390504.0,17607343.0,13944793.0,16326897.0
2.295332908630371,2.2920000553131104,2.4073328971862793,2.3440001010894775,2.569333076477051,2.618666887283325,43341000.0,38209500.0,135567000.0,46830000.0,40521000.0,2.8390352725982666,2.889814615249634,2.8367276191711426,2.8575007915496826,2.8990468978881836,64444400.0,37014800.0,58040800.0,71301200.0,43355200.0,38.11000061035156,38.54999923706055,38.34000015258789,38.77000045776367,38.9900016784668,2738700.0,2835500.0,2872700.0,3129600.0,2056500.0,13.585983276367188,13.831742286682129,13.686006546020508,13.771611213684082,14.113405227661133,372579200.0,330654800.0,447182400.0,476302400.0,435783600.0,42.0418701171875,42.43282699584961,42.23735809326172,42.448463439941406,42.36245346069336,6361000.0,5519000.0,5512500.0,4446300.0,3981200.0,55.32258224487305,56.10228729248047,56.138729095458984,56.16787338256836,56.38645935058594,9970400.0,8433200.0,10305200.0,9275400.0,11783500.0,28.738540649414062,29.042699813842773,28.725021362304688,28.833171844482422,28.535778045654297,20338850.0,16132807.0,12390504.0,17607343.0,13944793.0
2.3399999141693115,2.295332908630371,2.2920000553131104,2.4073328971862793,2.3440001010894775,2.569333076477051,41443500.0,43341000.0,38209500.0,135567000.0,46830000.0,2.872708797454834,2.8390352725982666,2.889814615249634,2.8367276191711426,2.8575007915496826,48750400.0,64444400.0,37014800.0,58040800.0,71301200.0,38.59000015258789,38.11000061035156,38.54999923706055,38.34000015258789,38.77000045776367,2925000.0,2738700.0,2835500.0,2872700.0,3129600.0,13.775291442871094,13.585983276367188,13.831742286682129,13.686006546020508,13.771611213684082,501499600.0,372579200.0,330654800.0,447182400.0,476302400.0,42.55792236328125,42.0418701171875,42.43282699584961,42.23735809326172,42.448463439941406,4772100.0,6361000.0,5519000.0,5512500.0,4446300.0,55.43915939331055,55.32258224487305,56.10228729248047,56.138729095458984,56.16787338256836,8378900.0,9970400.0,8433200.0,10305200.0,9275400.0,28.670961380004883,28.738540649414062,29.042699813842773,28.725021362304688,28.833171844482422,14570449.0,20338850.0,16132807.0,12390504.0,17607343.0
2.322000026702881,2.3399999141693115,2.295332908630371,2.2920000553131104,2.4073328971862793,2.3440001010894775,29388000.0,41443500.0,43341000.0,38209500.0,135567000.0,2.9261221885681152,2.872708797454834,2.8390352725982666,2.889814615249634,2.8367276191711426,47698000.0,48750400.0,64444400.0,37014800.0,58040800.0,39.599998474121094,38.59000015258789,38.11000061035156,38.54999923706055,38.34000015258789,5285300.0,2925000.0,2738700.0,2835500.0,2872700.0,13.640289306640625,13.775291442871094,13.585983276367188,13.831742286682129,13.686006546020508,587350400.0,501499600.0,372579200.0,330654800.0,447182400.0,42.84722137451172,42.55792236328125,42.0418701171875,42.43282699584961,42.23735809326172,3972000.0,4772100.0,6361000.0,5519000.0,5512500.0,55.92739486694336,55.43915939331055,55.32258224487305,56.10228729248047,56.138729095458984,7567800.0,8378900.0,9970400.0,8433200.0,10305200.0,29.042699813842773,28.670961380004883,28.738540649414062,29.042699813842773,28.725021362304688,13537121.0,14570449.0,20338850.0,16132807.0,12390504.0
2.309999942779541,2.322000026702881,2.3399999141693115,2.295332908630371,2.2920000553131104,2.4073328971862793,29473500.0,29388000.0,41443500.0,43341000.0,38209500.0,2.940056085586548,2.9261221885681152,2.872708797454834,2.8390352725982666,2.889814615249634,59139200.0,47698000.0,48750400.0,64444400.0,37014800.0,39.310001373291016,39.599998474121094,38.59000015258789,38.11000061035156,38.54999923706055,3637600.0,5285300.0,2925000.0,2738700.0,2835500.0,13.543027877807617,13.640289306640625,13.775291442871094,13.585983276367188,13.831742286682129,322515200.0,587350400.0,501499600.0,372579200.0,330654800.0,42.73776626586914,42.84722137451172,42.55792236328125,42.0418701171875,42.43282699584961,5877500.0,3972000.0,4772100.0,6361000.0,5519000.0,55.51203918457031,55.92739486694336,55.43915939331055,55.32258224487305,56.10228729248047,10466900.0,7567800.0,8378900.0,9970400.0,8433200.0,28.880489349365234,29.042699813842773,28.670961380004883,28.738540649414062,29.042699813842773,14893442.0,13537121.0,14570449.0,20338850.0,16132807.0
2.371999979019165,2.309999942779541,2.322000026702881,2.3399999141693115,2.295332908630371,2.2920000553131104,23199000.0,29473500.0,29388000.0,41443500.0,43341000.0,2.951667547225952,2.940056085586548,2.9261221885681152,2.872708797454834,2.8390352725982666,38939600.0,59139200.0,47698000.0,48750400.0,64444400.0,39.83000183105469,39.310001373291016,39.599998474121094,38.59000015258789,38.11000061035156,2328200.0,3637600.0,5285300.0,2925000.0,2738700.0,13.207673072814941,13.543027877807617,13.640289306640625,13.775291442871094,13.585983276367188,552448400.0,322515200.0,587350400.0,501499600.0,372579200.0,42.83158493041992,42.73776626586914,42.84722137451172,42.55792236328125,42.0418701171875,4592600.0,5877500.0,3972000.0,4772100.0,6361000.0,55.737945556640625,55.51203918457031,55.92739486694336,55.43915939331055,55.32258224487305,9599700.0,10466900.0,7567800.0,8378900.0,9970400.0,28.812894821166992,28.880489349365234,29.042699813842773,28.670961380004883,28.738540649414062,15527482.0,14893442.0,13537121.0,14570449.0,20338850.0
2.4433329105377197,2.371999979019165,2.309999942779541,2.322000026702881,2.3399999141693115,2.295332908630371,26365500.0,23199000.0,29473500.0,29388000.0,41443500.0,2.940056085586548,2.951667547225952,2.940056085586548,2.9261221885681152,2.872708797454834,35368000.0,38939600.0,59139200.0,47698000.0,48750400.0,40.459999084472656,39.83000183105469,39.310001373291016,39.599998474121094,38.59000015258789,2423600.0,2328200.0,3637600.0,5285300.0,2925000.0,12.887965202331543,13.207673072814941,13.543027877807617,13.640289306640625,13.775291442871094,582755600.0,552448400.0,322515200.0,587350400.0,501499600.0,42.81594467163086,42.83158493041992,42.73776626586914,42.84722137451172,42.55792236328125,4424200.0,4592600.0,5877500.0,3972000.0,4772100.0,55.87638473510742,55.737945556640625,55.51203918457031,55.92739486694336,55.43915939331055,7631000.0,9599700.0,10466900.0,7567800.0,8378900.0,29.292776107788086,28.812894821166992,28.880489349365234,29.042699813842773,28.670961380004883,14839890.0,15527482.0,14893442.0,13537121.0,14570449.0
2.512666940689087,2.4433329105377197,2.371999979019165,2.309999942779541,2.322000026702881,2.3399999141693115,31305000.0,26365500.0,23199000.0,29473500.0,29388000.0,2.972568988800049,2.940056085586548,2.951667547225952,2.940056085586548,2.9261221885681152,36616800.0,35368000.0,38939600.0,59139200.0,47698000.0,41.459999084472656,40.459999084472656,39.83000183105469,39.310001373291016,39.599998474121094,4236600.0,2423600.0,2328200.0,3637600.0,5285300.0,13.228231430053711,12.887965202331543,13.207673072814941,13.543027877807617,13.640289306640625,638433600.0,582755600.0,552448400.0,322515200.0,587350400.0,43.42581558227539,42.81594467163086,42.83158493041992,42.73776626586914,42.84722137451172,4866800.0,4424200.0,4592600.0,5877500.0,3972000.0,56.145999908447266,55.87638473510742,55.737945556640625,55.51203918457031,55.92739486694336,9716200.0,7631000.0,9599700.0,10466900.0,7567800.0,29.231943130493164,29.292776107788086,28.812894821166992,28.880489349365234,29.042699813842773,15843769.0,14839890.0,15527482.0,14893442.0,13537121.0
2.5486669540405273,2.512666940689087,2.4433329105377197,2.371999979019165,2.309999942779541,2.322000026702881,17250000.0,31305000.0,26365500.0,23199000.0,29473500.0,2.9702465534210205,2.972568988800049,2.940056085586548,2.951667547225952,2.940056085586548,34292800.0,36616800.0,35368000.0,38939600.0,59139200.0,41.290000915527344,41.459999084472656,40.459999084472656,39.83000183105469,39.310001373291016,2835600.0,4236600.0,2423600.0,2328200.0,3637600.0,13.06009578704834,13.228231430053711,12.887965202331543,13.207673072814941,13.543027877807617,460250000.0,638433600.0,582755600.0,552448400.0,322515200.0,43.066165924072266,43.42581558227539,42.81594467163086,42.83158493041992,42.73776626586914,6787700.0,4866800.0,4424200.0,4592600.0,5877500.0,56.255313873291016,56.145999908447266,55.87638473510742,55.737945556640625,55.51203918457031,7194700.0,9716200.0,7631000.0,9599700.0,10466900.0,29.5225772857666,29.231943130493164,29.292776107788086,28.812894821166992,28.880489349365234,19301121.0,15843769.0,14839890.0,15527482.0,14893442.0
2.564666986465454,2.5486669540405273,2.512666940689087,2.4433329105377197,2.371999979019165,2.309999942779541,17374500.0,17250000.0,31305000.0,26365500.0,23199000.0,2.9632790088653564,2.9702465534210205,2.972568988800049,2.940056085586548,2.951667547225952,31482400.0,34292800.0,36616800.0,35368000.0,38939600.0,41.5,41.290000915527344,41.459999084472656,40.459999084472656,39.83000183105469,2678600.0,2835600.0,4236600.0,2423600.0,2328200.0,13.21104907989502,13.06009578704834,13.228231430053711,12.887965202331543,13.207673072814941,468473600.0,460250000.0,638433600.0,582755600.0,552448400.0,43.277252197265625,43.066165924072266,43.42581558227539,42.81594467163086,42.83158493041992,3602300.0,6787700.0,4866800.0,4424200.0,4592600.0,56.03668212890625,56.255313873291016,56.145999908447266,55.87638473510742,55.737945556640625,7111400.0,7194700.0,9716200.0,7631000.0,9599700.0,29.245466232299805,29.5225772857666,29.231943130493164,29.292776107788086,28.812894821166992,14392813.0,19301121.0,15843769.0,14839890.0,15527482.0
