MA,MA_1_day_ago,MA_2_day_ago,MA_3_day_ago,MA_4_day_ago,MA_5_day_ago,MA_vol_1_day_ago,MA_vol_2_day_ago,MA_vol_3_day_ago,MA_vol_4_day_ago,MA_vol_5_day_ago,V_1_day_ago,V_2_day_ago,V_3_day_ago,V_4_day_ago,V_5_day_ago,V_vol_1_day_ago,V_vol_2_day_ago,V_vol_3_day_ago,V_vol_4_day_ago,V_vol_5_day_ago,MSFT_1_day_ago,MSFT_2_day_ago,MSFT_3_day_ago,MSFT_4_day_ago,MSFT_5_day_ago,MSFT_vol_1_day_ago,MSFT_vol_2_day_ago,MSFT_vol_3_day_ago,MSFT_vol_4_day_ago,MSFT_vol_5_day_ago,JPM_1_day_ago,JPM_2_day_ago,JPM_3_day_ago,JPM_4_day_ago,JPM_5_day_ago,JPM_vol_1_day_ago,JPM_vol_2_day_ago,JPM_vol_3_day_ago,JPM_vol_4_day_ago,JPM_vol_5_day_ago,LLY_1_day_ago,LLY_2_day_ago,LLY_3_day_ago,LLY_4_day_ago,LLY_5_day_ago,LLY_vol_1_day_ago,LLY_vol_2_day_ago,LLY_vol_3_day_ago,LLY_vol_4_day_ago,LLY_vol_5_day_ago,TSLA_1_day_ago,TSLA_2_day_ago,TSLA_3_day_ago,TSLA_4_day_ago,TSLA_5_day_ago,TSLA_vol_1_day_ago,TSLA_vol_2_day_ago,TSLA_vol_3_day_ago,TSLA_vol_4_day_ago,TSLA_vol_5_day_ago,MRK_1_day_ago,MRK_2_day_ago,MRK_3_day_ago,MRK_4_day_ago,MRK_5_day_ago,MRK_vol_1_day_ago,MRK_vol_2_day_ago,MRK_vol_3_day_ago,MRK_vol_4_day_ago,MRK_vol_5_day_ago
47.81932830810547,49.02956008911133,48.63272476196289,48.007476806640625,48.93877029418945,48.96405029296875,6591000.0,6814000.0,5377000.0,4234000.0,7032000.0,36.887271881103516,36.42683410644531,35.95945739746094,36.466156005859375,36.55409240722656,11738000.0,14220800.0,15688800.0,13210000.0,17884400.0,22.834564208984375,22.612468719482422,22.925045013427734,23.07311248779297,22.851011276245117,31425900.0,49078500.0,44110200.0,38781400.0,49650900.0,36.01128005981445,35.52534484863281,35.79039764404297,36.408878326416016,35.989192962646484,23584100.0,24437700.0,24786700.0,20445900.0,20016200.0,42.43282699584961,42.23735809326172,42.448463439941406,42.36245346069336,41.901145935058594,5519000.0,5512500.0,4446300.0,3981200.0,5482800.0,2.4073328971862793,2.3440001010894775,2.569333076477051,2.618666887283325,2.4693329334259033,38209500.0,135567000.0,46830000.0,40521000.0,30264000.0,29.042699813842773,28.725021362304688,28.833171844482422,28.535778045654297,27.995080947875977,16132807.0,12390504.0,17607343.0,13944793.0,16326897.0
47.707027435302734,47.81932830810547,49.02956008911133,48.63272476196289,48.007476806640625,48.93877029418945,8672000.0,6591000.0,6814000.0,5377000.0,4234000.0,36.068206787109375,36.887271881103516,36.42683410644531,35.95945739746094,36.466156005859375,11183200.0,11738000.0,14220800.0,15688800.0,13210000.0,22.513763427734375,22.834564208984375,22.612468719482422,22.925045013427734,23.07311248779297,48011800.0,31425900.0,49078500.0,44110200.0,38781400.0,35.120391845703125,36.01128005981445,35.52534484863281,35.79039764404297,36.408878326416016,32775500.0,23584100.0,24437700.0,24786700.0,20445900.0,42.0418701171875,42.43282699584961,42.23735809326172,42.448463439941406,42.36245346069336,6361000.0,5519000.0,5512500.0,4446300.0,3981200.0,2.2920000553131104,2.4073328971862793,2.3440001010894775,2.569333076477051,2.618666887283325,43341000.0,38209500.0,135567000.0,46830000.0,40521000.0,28.738540649414062,29.042699813842773,28.725021362304688,28.833171844482422,28.535778045654297,20338850.0,16132807.0,12390504.0,17607343.0,13944793.0
48.220890045166016,47.707027435302734,47.81932830810547,49.02956008911133,48.63272476196289,48.007476806640625,7955000.0,8672000.0,6591000.0,6814000.0,5377000.0,36.51707077026367,36.068206787109375,36.887271881103516,36.42683410644531,35.95945739746094,11354000.0,11183200.0,11738000.0,14220800.0,15688800.0,22.513763427734375,22.513763427734375,22.834564208984375,22.612468719482422,22.925045013427734,49923300.0,48011800.0,31425900.0,49078500.0,44110200.0,35.046756744384766,35.120391845703125,36.01128005981445,35.52534484863281,35.79039764404297,39401400.0,32775500.0,23584100.0,24437700.0,24786700.0,42.55792236328125,42.0418701171875,42.43282699584961,42.23735809326172,42.448463439941406,4772100.0,6361000.0,5519000.0,5512500.0,4446300.0,2.295332908630371,2.2920000553131104,2.4073328971862793,2.3440001010894775,2.569333076477051,41443500.0,43341000.0,38209500.0,135567000.0,46830000.0,28.670961380004883,28.738540649414062,29.042699813842773,28.725021362304688,28.833171844482422,14570449.0,20338850.0,16132807.0,12390504.0,17607343.0
48.467044830322266,48.220890045166016,47.707027435302734,47.81932830810547,49.02956008911133,48.63272476196289,6994000.0,7955000.0,8672000.0,6591000.0,6814000.0,36.98905563354492,36.51707077026367,36.068206787109375,36.887271881103516,36.42683410644531,8318000.0,11354000.0,11183200.0,11738000.0,14220800.0,22.87569808959961,22.513763427734375,22.513763427734375,22.834564208984375,22.612468719482422,36394700.0,49923300.0,48011800.0,31425900.0,49078500.0,36.28370666503906,35.046756744384766,35.120391845703125,36.01128005981445,35.52534484863281,31921200.0,39401400.0,32775500.0,23584100.0,24437700.0,42.84722137451172,42.55792236328125,42.0418701171875,42.43282699584961,42.23735809326172,3972000.0,4772100.0,6361000.0,5519000.0,5512500.0,2.3399999141693115,2.295332908630371,2.2920000553131104,2.4073328971862793,2.3440001010894775,29388000.0,41443500.0,43341000.0,38209500.0,135567000.0,29.042699813842773,28.670961380004883,28.738540649414062,29.042699813842773,28.725021362304688,13537121.0,14570449.0,20338850.0,16132807.0,12390504.0
48.511962890625,48.467044830322266,48.220890045166016,47.707027435302734,47.81932830810547,49.02956008911133,6148000.0,6994000.0,7955000.0,8672000.0,6591000.0,36.70447540283203,36.98905563354492,36.51707077026367,36.068206787109375,36.887271881103516,11228000.0,8318000.0,11354000.0,11183200.0,11738000.0,22.86746597290039,22.87569808959961,22.513763427734375,22.513763427734375,22.834564208984375,35840200.0,36394700.0,49923300.0,48011800.0,31425900.0,36.018646240234375,36.28370666503906,35.046756744384766,35.120391845703125,36.01128005981445,24711500.0,31921200.0,39401400.0,32775500.0,23584100.0,42.73776626586914,42.84722137451172,42.55792236328125,42.0418701171875,42.43282699584961,5877500.0,3972000.0,4772100.0,6361000.0,5519000.0,2.322000026702881,2.3399999141693115,2.295332908630371,2.2920000553131104,2.4073328971862793,29473500.0,29388000.0,41443500.0,43341000.0,38209500.0,28.880489349365234,29.042699813842773,28.670961380004883,28.738540649414062,29.042699813842773,14893442.0,13537121.0,14570449.0,20338850.0,16132807.0
48.803062438964844,48.511962890625,48.467044830322266,48.220890045166016,47.707027435302734,47.81932830810547,4142000.0,6148000.0,6994000.0,7955000.0,8672000.0,36.57490921020508,36.70447540283203,36.98905563354492,36.51707077026367,36.068206787109375,13212000.0,11228000.0,8318000.0,11354000.0,11183200.0,22.9908504486084,22.86746597290039,22.87569808959961,22.513763427734375,22.513763427734375,34849700.0,35840200.0,36394700.0,49923300.0,48011800.0,36.01128005981445,36.018646240234375,36.28370666503906,35.046756744384766,35.120391845703125,25923400.0,24711500.0,31921200.0,39401400.0,32775500.0,42.83158493041992,42.73776626586914,42.84722137451172,42.55792236328125,42.0418701171875,4592600.0,5877500.0,3972000.0,4772100.0,6361000.0,2.309999942779541,2.322000026702881,2.3399999141693115,2.295332908630371,2.2920000553131104,23199000.0,29473500.0,29388000.0,41443500.0,43341000.0,28.812894821166992,28.880489349365234,29.042699813842773,28.670961380004883,28.738540649414062,15527482.0,14893442.0,13537121.0,14570449.0,20338850.0
49.33563995361328,48.803062438964844,48.511962890625,48.467044830322266,48.220890045166016,47.707027435302734,3486000.0,4142000.0,6148000.0,6994000.0,7955000.0,36.90346145629883,36.57490921020508,36.70447540283203,36.98905563354492,36.51707077026367,6570000.0,13212000.0,11228000.0,8318000.0,11354000.0,23.155372619628906,22.9908504486084,22.86746597290039,22.87569808959961,22.513763427734375,38157500.0,34849700.0,35840200.0,36394700.0,49923300.0,36.15117263793945,36.01128005981445,36.018646240234375,36.28370666503906,35.046756744384766,17695200.0,25923400.0,24711500.0,31921200.0,39401400.0,42.81594467163086,42.83158493041992,42.73776626586914,42.84722137451172,42.55792236328125,4424200.0,4592600.0,5877500.0,3972000.0,4772100.0,2.371999979019165,2.309999942779541,2.322000026702881,2.3399999141693115,2.295332908630371,26365500.0,23199000.0,29473500.0,29388000.0,41443500.0,29.292776107788086,28.812894821166992,28.880489349365234,29.042699813842773,28.670961380004883,14839890.0,15527482.0,14893442.0,13537121.0,14570449.0
49.38056945800781,49.33563995361328,48.803062438964844,48.511962890625,48.467044830322266,48.220890045166016,5895000.0,3486000.0,4142000.0,6148000.0,6994000.0,37.086246490478516,36.90346145629883,36.57490921020508,36.70447540283203,36.98905563354492,10267600.0,6570000.0,13212000.0,11228000.0,8318000.0,23.319881439208984,23.155372619628906,22.9908504486084,22.86746597290039,22.87569808959961,41432200.0,38157500.0,34849700.0,35840200.0,36394700.0,36.438331604003906,36.15117263793945,36.01128005981445,36.018646240234375,36.28370666503906,25561100.0,17695200.0,25923400.0,24711500.0,31921200.0,43.42581558227539,42.81594467163086,42.83158493041992,42.73776626586914,42.84722137451172,4866800.0,4424200.0,4592600.0,5877500.0,3972000.0,2.4433329105377197,2.371999979019165,2.309999942779541,2.322000026702881,2.3399999141693115,31305000.0,26365500.0,23199000.0,29473500.0,29388000.0,29.231943130493164,29.292776107788086,28.812894821166992,28.880489349365234,29.042699813842773,15843769.0,14839890.0,15527482.0,14893442.0,13537121.0
49.295379638671875,49.38056945800781,49.33563995361328,48.803062438964844,48.511962890625,48.467044830322266,5179000.0,5895000.0,3486000.0,4142000.0,6148000.0,37.2643928527832,37.086246490478516,36.90346145629883,36.57490921020508,36.70447540283203,7516000.0,10267600.0,6570000.0,13212000.0,11228000.0,23.10601234436035,23.319881439208984,23.155372619628906,22.9908504486084,22.86746597290039,51448500.0,41432200.0,38157500.0,34849700.0,35840200.0,36.83590316772461,36.438331604003906,36.15117263793945,36.01128005981445,36.018646240234375,19607900.0,25561100.0,17695200.0,25923400.0,24711500.0,43.066165924072266,43.42581558227539,42.81594467163086,42.83158493041992,42.73776626586914,6787700.0,4866800.0,4424200.0,4592600.0,5877500.0,2.512666940689087,2.4433329105377197,2.371999979019165,2.309999942779541,2.322000026702881,17250000.0,31305000.0,26365500.0,23199000.0,29473500.0,29.5225772857666,29.231943130493164,29.292776107788086,28.812894821166992,28.880489349365234,19301121.0,15843769.0,14839890.0,15527482.0,14893442.0
49.53498458862305,49.295379638671875,49.38056945800781,49.33563995361328,48.803062438964844,48.511962890625,6685000.0,5179000.0,5895000.0,3486000.0,4142000.0,37.13713836669922,37.2643928527832,37.086246490478516,36.90346145629883,36.57490921020508,8687200.0,7516000.0,10267600.0,6570000.0,13212000.0,23.14714241027832,23.10601234436035,23.319881439208984,23.155372619628906,22.9908504486084,29196700.0,51448500.0,41432200.0,38157500.0,34849700.0,37.27767562866211,36.83590316772461,36.438331604003906,36.15117263793945,36.01128005981445,24245400.0,19607900.0,25561100.0,17695200.0,25923400.0,43.277252197265625,43.066165924072266,43.42581558227539,42.81594467163086,42.83158493041992,3602300.0,6787700.0,4866800.0,4424200.0,4592600.0,2.5486669540405273,2.512666940689087,2.4433329105377197,2.371999979019165,2.309999942779541,17374500.0,17250000.0,31305000.0,26365500.0,23199000.0,29.245466232299805,29.5225772857666,29.231943130493164,29.292776107788086,28.812894821166992,14392813.0,19301121.0,15843769.0,14839890.0,15527482.0
