AAPL,AAPL_1_day_ago,AAPL_2_day_ago,AAPL_3_day_ago,AAPL_4_day_ago,AAPL_5_day_ago,AAPL_vol_1_day_ago,AAPL_vol_2_day_ago,AAPL_vol_3_day_ago,AAPL_vol_4_day_ago,AAPL_vol_5_day_ago,MSFT_1_day_ago,MSFT_2_day_ago,MSFT_3_day_ago,MSFT_4_day_ago,MSFT_5_day_ago,MSFT_vol_1_day_ago,MSFT_vol_2_day_ago,MSFT_vol_3_day_ago,MSFT_vol_4_day_ago,MSFT_vol_5_day_ago,GOOG_1_day_ago,GOOG_2_day_ago,GOOG_3_day_ago,GOOG_4_day_ago,GOOG_5_day_ago,GOOG_vol_1_day_ago,GOOG_vol_2_day_ago,GOOG_vol_3_day_ago,GOOG_vol_4_day_ago,GOOG_vol_5_day_ago,AVGO_1_day_ago,AVGO_2_day_ago,AVGO_3_day_ago,AVGO_4_day_ago,AVGO_5_day_ago,AVGO_vol_1_day_ago,AVGO_vol_2_day_ago,AVGO_vol_3_day_ago,AVGO_vol_4_day_ago,AVGO_vol_5_day_ago,ABBV_1_day_ago,ABBV_2_day_ago,ABBV_3_day_ago,ABBV_4_day_ago,ABBV_5_day_ago,ABBV_vol_1_day_ago,ABBV_vol_2_day_ago,ABBV_vol_3_day_ago,ABBV_vol_4_day_ago,ABBV_vol_5_day_ago,MRK_1_day_ago,MRK_2_day_ago,MRK_3_day_ago,MRK_4_day_ago,MRK_5_day_ago,MRK_vol_1_day_ago,MRK_vol_2_day_ago,MRK_vol_3_day_ago,MRK_vol_4_day_ago,MRK_vol_5_day_ago,LLY_1_day_ago,LLY_2_day_ago,LLY_3_day_ago,LLY_4_day_ago,LLY_5_day_ago,LLY_vol_1_day_ago,LLY_vol_2_day_ago,LLY_vol_3_day_ago,LLY_vol_4_day_ago,LLY_vol_5_day_ago
13.585983276367188,13.831742286682129,13.686006546020508,13.771611213684082,14.113405227661133,14.118621826171875,330654800.0,447182400.0,476302400.0,435783600.0,391745200.0,22.834564208984375,22.612468719482422,22.925045013427734,23.07311248779297,22.851011276245117,31425900.0,49078500.0,44110200.0,38781400.0,49650900.0,19.918092727661133,19.813982009887695,19.737518310546875,20.09592628479004,19.748228073120117,82463941.0,140781714.0,110982436.0,117711564.0,109601278.0,25.36798667907715,25.055438995361328,25.799596786499023,26.447002410888672,26.149341583251953,1896400.0,6185300.0,3326200.0,2439600.0,2531700.0,24.609180450439453,24.813926696777344,24.70516586303711,24.43641471862793,24.046098709106445,4490400.0,7260900.0,8096400.0,8292700.0,13296300.0,29.042699813842773,28.725021362304688,28.833171844482422,28.535778045654297,27.995080947875977,16132807.0,12390504.0,17607343.0,13944793.0,16326897.0,42.43282699584961,42.23735809326172,42.448463439941406,42.36245346069336,41.901145935058594,5519000.0,5512500.0,4446300.0,3981200.0,5482800.0
13.775291442871094,13.585983276367188,13.831742286682129,13.686006546020508,13.771611213684082,14.113405227661133,372579200.0,330654800.0,447182400.0,476302400.0,435783600.0,22.513763427734375,22.834564208984375,22.612468719482422,22.925045013427734,23.07311248779297,48011800.0,31425900.0,49078500.0,44110200.0,38781400.0,19.69542694091797,19.918092727661133,19.813982009887695,19.737518310546875,20.09592628479004,92501423.0,82463941.0,140781714.0,110982436.0,117711564.0,24.519664764404297,25.36798667907715,25.055438995361328,25.799596786499023,26.447002410888672,3063200.0,1896400.0,6185300.0,3326200.0,2439600.0,23.911725997924805,24.609180450439453,24.813926696777344,24.70516586303711,24.43641471862793,4665600.0,4490400.0,7260900.0,8096400.0,8292700.0,28.738540649414062,29.042699813842773,28.725021362304688,28.833171844482422,28.535778045654297,20338850.0,16132807.0,12390504.0,17607343.0,13944793.0,42.0418701171875,42.43282699584961,42.23735809326172,42.448463439941406,42.36245346069336,6361000.0,5519000.0,5512500.0,4446300.0,3981200.0
13.640289306640625,13.775291442871094,13.585983276367188,13.831742286682129,13.686006546020508,13.771611213684082,501499600.0,372579200.0,330654800.0,447182400.0,476302400.0,22.513763427734375,22.513763427734375,22.834564208984375,22.612468719482422,22.925045013427734,49923300.0,48011800.0,31425900.0,49078500.0,44110200.0,19.679485321044922,19.69542694091797,19.918092727661133,19.813982009887695,19.737518310546875,88430220.0,92501423.0,82463941.0,140781714.0,110982436.0,24.65361213684082,24.519664764404297,25.36798667907715,25.055438995361328,25.799596786499023,3455600.0,3063200.0,1896400.0,6185300.0,3326200.0,23.732563018798828,23.911725997924805,24.609180450439453,24.813926696777344,24.70516586303711,4463000.0,4665600.0,4490400.0,7260900.0,8096400.0,28.670961380004883,28.738540649414062,29.042699813842773,28.725021362304688,28.833171844482422,14570449.0,20338850.0,16132807.0,12390504.0,17607343.0,42.55792236328125,42.0418701171875,42.43282699584961,42.23735809326172,42.448463439941406,4772100.0,6361000.0,5519000.0,5512500.0,4446300.0
13.543027877807617,13.640289306640625,13.775291442871094,13.585983276367188,13.831742286682129,13.686006546020508,587350400.0,501499600.0,372579200.0,330654800.0,447182400.0,22.87569808959961,22.513763427734375,22.513763427734375,22.834564208984375,22.612468719482422,36394700.0,49923300.0,48011800.0,31425900.0,49078500.0,19.919836044311523,19.679485321044922,19.69542694091797,19.918092727661133,19.813982009887695,81347773.0,88430220.0,92501423.0,82463941.0,140781714.0,25.07032012939453,24.65361213684082,24.519664764404297,25.36798667907715,25.055438995361328,3597100.0,3455600.0,3063200.0,1896400.0,6185300.0,23.50221824645996,23.732563018798828,23.911725997924805,24.609180450439453,24.813926696777344,12238400.0,4463000.0,4665600.0,4490400.0,7260900.0,29.042699813842773,28.670961380004883,28.738540649414062,29.042699813842773,28.725021362304688,13537121.0,14570449.0,20338850.0,16132807.0,12390504.0,42.84722137451172,42.55792236328125,42.0418701171875,42.43282699584961,42.23735809326172,3972000.0,4772100.0,6361000.0,5519000.0,5512500.0
13.207673072814941,13.543027877807617,13.640289306640625,13.775291442871094,13.585983276367188,13.831742286682129,322515200.0,587350400.0,501499600.0,372579200.0,330654800.0,22.86746597290039,22.87569808959961,22.513763427734375,22.513763427734375,22.834564208984375,35840200.0,36394700.0,49923300.0,48011800.0,31425900.0,19.955202102661133,19.919836044311523,19.679485321044922,19.69542694091797,19.918092727661133,90971711.0,81347773.0,88430220.0,92501423.0,82463941.0,25.4647274017334,25.07032012939453,24.65361213684082,24.519664764404297,25.36798667907715,3478600.0,3597100.0,3455600.0,3063200.0,1896400.0,23.6237850189209,23.50221824645996,23.732563018798828,23.911725997924805,24.609180450439453,10321000.0,12238400.0,4463000.0,4665600.0,4490400.0,28.880489349365234,29.042699813842773,28.670961380004883,28.738540649414062,29.042699813842773,14893442.0,13537121.0,14570449.0,20338850.0,16132807.0,42.73776626586914,42.84722137451172,42.55792236328125,42.0418701171875,42.43282699584961,5877500.0,3972000.0,4772100.0,6361000.0,5519000.0
12.887965202331543,13.207673072814941,13.543027877807617,13.640289306640625,13.775291442871094,13.585983276367188,552448400.0,322515200.0,587350400.0,501499600.0,372579200.0,22.9908504486084,22.86746597290039,22.87569808959961,22.513763427734375,22.513763427734375,34849700.0,35840200.0,36394700.0,49923300.0,48011800.0,20.079486846923828,19.955202102661133,19.919836044311523,19.679485321044922,19.69542694091797,87342157.0,90971711.0,81347773.0,88430220.0,92501423.0,25.077774047851562,25.4647274017334,25.07032012939453,24.65361213684082,24.519664764404297,3150000.0,3478600.0,3597100.0,3455600.0,3063200.0,24.193273544311523,23.6237850189209,23.50221824645996,23.732563018798828,23.911725997924805,8929400.0,10321000.0,12238400.0,4463000.0,4665600.0,28.812894821166992,28.880489349365234,29.042699813842773,28.670961380004883,28.738540649414062,15527482.0,14893442.0,13537121.0,14570449.0,20338850.0,42.83158493041992,42.73776626586914,42.84722137451172,42.55792236328125,42.0418701171875,4592600.0,5877500.0,3972000.0,4772100.0,6361000.0
13.228231430053711,12.887965202331543,13.207673072814941,13.543027877807617,13.640289306640625,13.775291442871094,582755600.0,552448400.0,322515200.0,587350400.0,501499600.0,23.155372619628906,22.9908504486084,22.86746597290039,22.87569808959961,22.513763427734375,38157500.0,34849700.0,35840200.0,36394700.0,49923300.0,20.46080780029297,20.079486846923828,19.955202102661133,19.919836044311523,19.679485321044922,111440145.0,87342157.0,90971711.0,81347773.0,88430220.0,24.95870590209961,25.077774047851562,25.4647274017334,25.07032012939453,24.65361213684082,1700500.0,3150000.0,3478600.0,3597100.0,3455600.0,24.468412399291992,24.193273544311523,23.6237850189209,23.50221824645996,23.732563018798828,5420800.0,8929400.0,10321000.0,12238400.0,4463000.0,29.292776107788086,28.812894821166992,28.880489349365234,29.042699813842773,28.670961380004883,14839890.0,15527482.0,14893442.0,13537121.0,14570449.0,42.81594467163086,42.83158493041992,42.73776626586914,42.84722137451172,42.55792236328125,4424200.0,4592600.0,5877500.0,3972000.0,4772100.0
13.06009578704834,13.228231430053711,12.887965202331543,13.207673072814941,13.543027877807617,13.640289306640625,638433600.0,582755600.0,552448400.0,322515200.0,587350400.0,23.319881439208984,23.155372619628906,22.9908504486084,22.86746597290039,22.87569808959961,41432200.0,38157500.0,34849700.0,35840200.0,36394700.0,20.88671112060547,20.46080780029297,20.079486846923828,19.955202102661133,19.919836044311523,162370331.0,111440145.0,87342157.0,90971711.0,81347773.0,25.54657745361328,24.95870590209961,25.077774047851562,25.4647274017334,25.07032012939453,3051000.0,1700500.0,3150000.0,3478600.0,3597100.0,24.00130844116211,24.468412399291992,24.193273544311523,23.6237850189209,23.50221824645996,6650400.0,5420800.0,8929400.0,10321000.0,12238400.0,29.231943130493164,29.292776107788086,28.812894821166992,28.880489349365234,29.042699813842773,15843769.0,14839890.0,15527482.0,14893442.0,13537121.0,43.42581558227539,42.81594467163086,42.83158493041992,42.73776626586914,42.84722137451172,4866800.0,4424200.0,4592600.0,5877500.0,3972000.0
13.21104907989502,13.06009578704834,13.228231430053711,12.887965202331543,13.207673072814941,13.543027877807617,460250000.0,638433600.0,582755600.0,552448400.0,322515200.0,23.10601234436035,23.319881439208984,23.155372619628906,22.9908504486084,22.86746597290039,51448500.0,41432200.0,38157500.0,34849700.0,35840200.0,20.706886291503906,20.88671112060547,20.46080780029297,20.079486846923828,19.955202102661133,115350748.0,162370331.0,111440145.0,87342157.0,90971711.0,25.829360961914062,25.54657745361328,24.95870590209961,25.077774047851562,25.4647274017334,2461000.0,3051000.0,1700500.0,3150000.0,3478600.0,24.14847183227539,24.00130844116211,24.468412399291992,24.193273544311523,23.6237850189209,5489500.0,6650400.0,5420800.0,8929400.0,10321000.0,29.5225772857666,29.231943130493164,29.292776107788086,28.812894821166992,28.880489349365234,19301121.0,15843769.0,14839890.0,15527482.0,14893442.0,43.066165924072266,43.42581558227539,42.81594467163086,42.83158493041992,42.73776626586914,6787700.0,4866800.0,4424200.0,4592600.0,5877500.0
13.246028900146484,13.21104907989502,13.06009578704834,13.228231430053711,12.887965202331543,13.207673072814941,468473600.0,460250000.0,638433600.0,582755600.0,552448400.0,23.14714241027832,23.10601234436035,23.319881439208984,23.155372619628906,22.9908504486084,29196700.0,51448500.0,41432200.0,38157500.0,34849700.0,20.737272262573242,20.706886291503906,20.88671112060547,20.46080780029297,20.079486846923828,82415761.0,115350748.0,162370331.0,111440145.0,87342157.0,26.022836685180664,25.829360961914062,25.54657745361328,24.95870590209961,25.077774047851562,3073800.0,2461000.0,3051000.0,1700500.0,3150000.0,23.988506317138672,24.14847183227539,24.00130844116211,24.468412399291992,24.193273544311523,4442500.0,5489500.0,6650400.0,5420800.0,8929400.0,29.245466232299805,29.5225772857666,29.231943130493164,29.292776107788086,28.812894821166992,14392813.0,19301121.0,15843769.0,14839890.0,15527482.0,43.277252197265625,43.066165924072266,43.42581558227539,42.81594467163086,42.83158493041992,3602300.0,6787700.0,4866800.0,4424200.0,4592600.0
